Timestamp,dl_mcs,dl_n_samples,dl_buffer [bytes],tx_brate downlink [Mbps],tx_pkts downlink,tx_errors downlink (%),dl_cqi,ul_mcs,ul_n_samples,ul_buffer [bytes],rx_brate uplink [Mbps],rx_pkts uplink,rx_errors uplink (%),ul_sinr,phr,sum_requested_prbs,sum_granted_prbs,ul_turbo_iters
1669219203320,0,0,0,0,0,0,4.14286,0,0,0,0,0,0,0,0,0,0,0
1669219203570,0,0,0,0,0,0,4.66667,0,0,0,0,0,0,0,0,0,0,0
1669219203820,0,0,0,0,0,0,4.33333,0,0,0,0,0,0,0,0,0,0,0
1669219204070,0,0,0,0,0,0,4.16667,0,0,0,0,0,0,0,0,0,0,0
1669219204320,0,0,0,0,0,0,4.28571,0,0,0,0,0,0,0,0,0,0,0
1669219204570,0,0,0,0,0,0,4.33333,0,0,0,0,0,0,0,0,0,0,0
1669219204820,0,0,0,0,0,0,4.5,0,0,0,0,0,0,0,0,0,0,0
1669219205070,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0
1669219205320,0,0,0,0,0,0,4.42857,0,3,0,0.1,1,0,0,31,0,0,0
1669219205570,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0
1669219205820,0,0,0,0,0,0,4.83333,0,0,0,0,0,0,0,0,0,0,0
1669219206070,0,0,0,0,0,0,4.83333,0,0,0,0,0,0,0,0,0,0,0
1669219206570,6,4,0,0.00102811,1,0,0.1,0,3,0,0.1,1,0,0,0,0,3,0
1669219206820,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0
1669219207070,1.3125,16,0,0.002912,5,0,5,11.7857,28,0,0.1,8,0,32.4085,31,0,18,1
1669219207320,0,3,0,0.001632,1,0,5,13.7143,7,0,0.1,2,0,32.0205,31,0,6,1
1669219207570,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0
1669219207820,0,0,0,0,0,0,4.83333,0,0,0,0,0,0,0,0,0,0,0
